Kategori,Başlık,İçerik
Bilim Teknoloji,Bayraktar: KIZILELMA'nın 1-2 ay içinde üretim prototipleri ve versiyonunu uçurmaya başlayacağız,"Baykar Yönetim Kurulu Başkanı ve Teknoloji Lideri Bayraktar, ""KIZIELMA, tüm dünyada havacılıkta gittiği yeri temsil ediyor. Yaklaşık 1-2 ay içinde üretim prototipleri ve versiyonunu uçurmaya başlayacağız. Bu yıl 3 adet KIZILELMA'yı üretmiş olacağız ve önümüzdeki yıllarda da daha yüksek adet seri üretime geçmiş olacak"" dedi."
Bilim Teknoloji,"Çin, 4 ileri teknoloji yer gözlem uydusunu fırlattı","Çin, yüksek optik çözünürlük ve hızlı uzaktan algılama özelliğiyle yapay zekayla ve akıllı görüntüleme sistemleriyle çalışabilen 4 ileri teknoloji yer gözlem uydusunu uzaya gönderdi."
Bilim Teknoloji,Erken ihbar radar sistemlerinin ilk teslimatı yapıldı,"Yerli ve milli erken ihbar radar sistemlerinin ilk teslimatı yapıldı. Savunma Sanayii Başkanı Görgün, Türk Silahlı Kuvvetleri envanterine giren Taşınabilir Erken İhbar Radar Sistemi'nin (ALP 300-G) çok stratejik bir ürün olduğunu söyledi."
Bilim Teknoloji,Genç mühendisin testinden geçemeyen sahaya çıkamıyor,"Ailedeki başarılı örneklerin teşvikiyle mühendisliği seçen Ekin Ecem Tatar, HAVELSAN'da test mühendisi olarak, sözleşmenin imzalandığı andan ürünlerin en iyi şekilde hizmete sunulmasına kadarki sürecin yönetiminde görev alıyor, projelerin en iyi şekilde tamamlanmasına katkı sağlıyor."
Bilim Teknoloji,TÜRKSAT model uydu yarışması için süreç başladı,Türksat ve Türkiye Teknoloji Takımı Vakfı (T3 Vakfı) işbirliğiyle 9. kez düzenlenecek uluslararası Türksat Model Uydu Yarışması kapsamındaki yarışmacı sunumları 21-28 Mayıs tarihlerinde yapılacak.
Bilim Teknoloji,ASELSAN üretkenliğin artırılmasında yapay zeka kullanımını zorunlu görüyor,"ASELSAN Elektronik ve Yazılım Tasarım Direktörü Say, savunma sanayisinde üretkenliğin artırılması ve sistemlerin daha akıllı hale getirilmesi için yapay zekanın artık tercih değil, zorunluluk olduğunu belirtti."
Bilim Teknoloji,"Elon Musk, Endonezya'da Starlink uydu internet hizmetini devreye soktu","Tesla ve SpaceX'in Üst Yöneticisi (CEO) Elon Musk, 17 binden fazla adadan oluşan Endonezya'ya uydu internet hizmeti sağlayacak Starlink'in açılışını yaptı."
Bilim Teknoloji,"Lise öğrencisi, yerli EEG başlığı üretmek için kurduğu şirkette ilk prototipi hazırladı","Teknopark Ankara İvedik Organize Sanayi Bölgesi (OSB) Mesleki ve Teknik Anadolu Lisesi (MTAL) öğrencisi Mehmet Ensar Çalışan, beyindeki elektriksel hareketleri ölçmede kullanılan elektroensefalografi (EEG) başlığını yerli imkanlarla üretmek için kurduğu şirkette AR-GE çalışmalarını tamamlayarak ilk prototipi çıkardı."
Bilim Teknoloji,Türk denizlerinin röntgenini çeken deneyin ilk sonuçları açıklandı,"Türkiye'yi çevreleyen denizlerin sıcaklık, kirlilik ve oksijen durumunu tespit için 28 kıyı ilinde ve KKTC'de öğrenciler, mezunlar ile yakınlarının katılımıyla ülkedeki en büyük çevre deneyinin ilk sonuçlarını açıkladı."
Bilim Teknoloji,Türkiye 6G için patent üretimini sürdürüyor,"Türkiye'yi 6G teknolojisine hazırlayan ekibin başında yer alan Prof. Dr. Hüseyin Arslan, 2-3 yıl önce başlatılan çalışmalarla şimdiden yaklaşık 100 patent ürettiklerini ve gelecekte dünya arenasında söz sahibi olacak ülkeler arasına girmeyi hedeflediklerini belirtti."
Bilim Teknoloji,Emniyetteki biyometrik veriler milli yazılıma emanet,"Parmak izi başta olmak üzere biyometrik verilerin milli yazılımlarla güvence altına alınması amacıyla geliştirilen Ulusal Biyometrik Veri Yönetim Sistemi, Emniyet Genel Müdürlüğü tarafından tüm Türkiye'de kullanılmaya başlandı."
